lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
heti	AK-1.1	125	10	1
SiKA	AK-1.1	125	18	2
sPuliNga	AK-1.1	126	2	1
agnikaRa	AK-1.1	126	1	1
santApa	AK-1.1	127	0	0
saYjvara	AK-1.1	127	0	0
ulkA	AK-1.1	128	4	2
nirgatajvAlA	AK-1.1	128	0	0
BUti	AK-1.1	129	16	3
Basita	AK-1.1	129	2	1
Basman	AK-1.1	129	4	1
kzAra	AK-1.1	129	11	2
rakzA	AK-1.1	129	6	2
dAva	AK-1.1	130	4	1
dava	AK-1.1	130	6	1
vanahutASana	AK-1.1	130	1	1
DarmarAja	AK-1.1	131	7	2
pitfpati	AK-1.1	131	2	1
samavartin	AK-1.1	131	4	1
paretarAj	AK-1.1	131	1	1
kftAnta	AK-1.1	131	11	2
yamunABrAtf	AK-1.1	131	1	0
Samana	AK-1.1	131	8	1
yamarAj	AK-1.1	131	1	1
yama	AK-1.1	131	17	2
kAla	AK-1.1	131	39	5
daRqaDara	AK-1.1	131	8	1
SrAdDadeva	AK-1.1	131	1	1
vEvasvata	AK-1.1	131	8	1
antaka	AK-1.1	131	5	4
rAkzasa	AK-1.1	132	9	1
kORapa	AK-1.1	132	3	2
kravyAd	AK-1.1	132	5	1
kravyAda	AK-1.1	132	9	1
asrapa	AK-1.1	132	1	1
ASara	AK-1.1	132	2	1
rAtriYcara	AK-1.1	132	0	0
rAtricara	AK-1.1	132	3	1
karbura	AK-1.1	132	8	2
nikazAtmaja	AK-1.1	132	1	0
yAtuDAna	AK-1.1	132	1	1
puRyajana	AK-1.1	132	2	1
nErfta	AK-1.1	132	9	1
yAtu	AK-1.1	132	7	2
rakzas	AK-1.1	132	4	5
pracetas	AK-1.1	133	8	2
varuRa	AK-1.1	133	9	1
pASin	AK-1.1	133	5	2
yAdasAmpati	AK-1.1	133	0	0
appati	AK-1.1	133	2	1
Svasana	AK-1.1	134	12	1
sparSana	AK-1.1	134	6	1
vAyu	AK-1.1	134	16	3
mAtariSvan	AK-1.1	134	5	2
sadAgati	AK-1.1	134	7	2
pfzadaSva	AK-1.1	134	6	1
ganDavaha	AK-1.1	134	2	1
ganDavAha	AK-1.1	134	2	1
anila	AK-1.1	134	10	1
ASuga	AK-1.1	134	5	2
samIra	AK-1.1	134	4	1
mAruta	AK-1.1	134	15	1
marut	AK-1.1	134	11	2
jagatprARa	AK-1.1	134	2	2
samIraRa	AK-1.1	134	8	1
naBasvat	AK-1.1	134	5	1
vAta	AK-1.1	134	13	2
pavana	AK-1.1	134	15	3
pavamAna	AK-1.1	134	6	3
praBaYjana	AK-1.1	134	6	1
prakampana	AK-1.1	135	5	1
mahAvAta	AK-1.1	135	1	1
JaYJAvAta	AK-1.1	136	1	0
prARa	AK-1.1	137	22	3
apAna	AK-1.1	138	4	3
samAna	AK-1.1	139	15	3
udAna	AK-1.1	140	8	2
vyAna	AK-1.1	141	2	1
raMhas	AK-1.1	142	4	1
taras	AK-1.1	142	8	3
raya	AK-1.1	142	6	1
syada	AK-1.1	142	2	1
java	AK-1.1	142	3	2
SIGra	AK-1.1	143	6	1
tvarita	AK-1.1	143	3	1
laGu	AK-1.1	143	23	1
kzipra	AK-1.1	143	9	2
ara	AK-1.1	143	10	4
druta	AK-1.1	143	7	2
satvara	AK-1.1	143	1	1
capala	AK-1.1	143	15	3
tUrRa	AK-1.1	143	1	2
avilambita	AK-1.1	143	2	2
ASu	AK-1.1	143	6	2
satata	AK-1.1	144	2	1
anArata	AK-1.1	144	1	1
aSrAnta	AK-1.1	144	3	1
santata	AK-1.1	144	0	0
avirata	AK-1.1	144	1	1
aniSa	AK-1.1	144	2	1
nitya	AK-1.1	144	7	4
anavarata	AK-1.1	144	1	1
ajasra	AK-1.1	144	1	2
atiSaya	AK-1.1	145	6	2
Bara	AK-1.1	145	10	2
ativela	AK-1.1	145	1	1
BfSa	AK-1.1	145	7	1
atyarTa	AK-1.1	145	1	1
atimAtra	AK-1.1	145	1	3
udgAQa	AK-1.1	145	1	2
nirBara	AK-1.1	145	3	2
tIvra	AK-1.1	145	9	2
ekAnta	AK-1.1	145	5	4
nitAnta	AK-1.1	145	2	1
gAQa	AK-1.1	145	5	3
bAQa	AK-1.1	145	1	2
dfQa	AK-1.1	145	15	1
kubera	AK-1.1	146	9	2
tryambakasaKa	AK-1.1	146	1	1
yakzarAj	AK-1.1	146	3	1
guhyakeSvara	AK-1.1	146	1	0
manuzyaDarman	AK-1.1	146	2	1
Danada	AK-1.1	146	9	2
rAjarAja	AK-1.1	146	4	1
DanADipa	AK-1.1	146	1	2
kinnareSa	AK-1.1	146	0	0
vESravaRa	AK-1.1	146	3	1
pOlastya	AK-1.1	146	9	2
naravAhana	AK-1.1	146	4	2
yakza	AK-1.1	146	8	2
ekapiNga	AK-1.1	146	1	1
Elavila	AK-1.1	146	2	2
SrIda	AK-1.1	146	2	1
puRya	AK-1.1	146	7	3
janeSvara	AK-1.1	146	1	1
cEtraraTa	AK-1.1	147	5	1
nalakUbara	AK-1.1	148	1	2
kElAsa	AK-1.1	149	2	2
alakA	AK-1.1	150	3	0
puzpaka	AK-1.1	151	9	3
kinnara	AK-1.1	152	0	0
kimpuruza	AK-1.1	152	3	0
turaNgavadana	AK-1.1	152	0	0
mayu	AK-1.1	152	2	1
niDi	AK-1.1	153	9	2
SevaDi	AK-1.1	153	3	1
padma	AK-1.1	154	34	2
SaNKa	AK-1.1	155	24	1
mahApadma	AK-1.1	156	18	2
makara	AK-1.1	157	11	1
kacCapa	AK-1.1	158	9	2
mukunda	AK-1.1	159	10	1
kunda	AK-1.1	160	9	1
nIla	AK-1.1	161	29	3
Karva	AK-1.1	162	5	2
dyo	AK-1.2	163	2	1
div	AK-1.2	163	10	8
aBra	AK-1.2	163	10	2
vyoman	AK-1.2	163	15	2
puzkara	AK-1.2	163	45	3
ambara	AK-1.2	163	11	3
naBas	AK-1.2	163	12	2
antarikza	AK-1.2	163	5	3
gagana	AK-1.2	163	2	0
ananta	AK-1.2	163	18	2
suravartman	AK-1.2	163	1	1
Ka	AK-1.2	163	21	4
viyat	AK-1.2	163	7	1
vizRupada	AK-1.2	163	6	1
AkASa	AK-1.2	163	5	3
vihAyas	AK-1.2	163	3	2
vihAyasa	AK-1.2	163	2	1
nAka	AK-1.2	163	6	2
dyus	AK-1.2	163	1	1
tArApaTa	AK-1.2	163	1	1
antarikza	AK-1.2	163	5	3
meGADvan	AK-1.2	163	1	0
mahAbila	AK-1.2	163	4	1
vihAyas	AK-1.2	164	3	2
Sakuna	AK-1.2	164	9	1
diS	AK-1.3	165	12	5
kakuB	AK-1.3	165	9	2
kAzWA	AK-1.3	165	12	2
ASA	AK-1.3	165	5	3
harit	AK-1.3	165	13	1
prAcI	AK-1.3	166	3	1
pUrvA	AK-1.3	166	3	0
avAcI	AK-1.3	167	1	0
dakziRA	AK-1.3	167	12	1
prAcI	AK-1.3	168	3	1
pUrvA	AK-1.3	168	3	0
pratIcI	AK-1.3	169	3	1
astA	AK-1.3	169	2	2
paScimA	AK-1.3	169	0	0
udIcI	AK-1.3	170	1	1
uttara	AK-1.3	170	31	4
diSya	AK-1.3	171	3	1
avAgBava	AK-1.3	172	0	0
avAcIna	AK-1.3	172	1	3
