mandala	sukta	verse	pada_letter	pratika	match_status	elizarenkova_ref	rvlinks_anchor	pratika_verified_in_elizarenkova
1	35	2	b	niveśayann amṛtaṃ martyaṃ (TB. amṛtān martyāṃś) ca	joined	samudra:01_rigveda.no_tags#35.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.02	y
1	35	2	c	hiraṇyayena savitā rathena	joined	samudra:01_rigveda.no_tags#35.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.02	y
1	35	2	d	ā devo yāti bhuvanāni paśyan (TS.MS. bhuvanā vipaśyan)	joined	samudra:01_rigveda.no_tags#35.2	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.02	y
1	35	3	a	yāti devaḥ pravatā yāty udvatā	joined	samudra:01_rigveda.no_tags#35.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.03	y
1	35	3	b	yāti śubhrābhyāṃ yajato haribhyām	joined	samudra:01_rigveda.no_tags#35.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.03	y
1	35	3	c	ā devo yāti savitā parāvataḥ	joined	samudra:01_rigveda.no_tags#35.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.03	n
1	35	3	d	apa viśvā duritā bādhamānaḥ	joined	samudra:01_rigveda.no_tags#35.3	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.03	n
1	35	4	a	abhīvṛtaṃ kṛśanair viśvarūpam	joined	samudra:01_rigveda.no_tags#35.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.04	y
1	35	4	b	hiraṇyaśamyaṃ yajato bṛhantam	joined	samudra:01_rigveda.no_tags#35.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.04	y
1	35	4	c	āsthād rathaṃ savitā citrabhānuḥ	joined	samudra:01_rigveda.no_tags#35.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.04	y
1	35	4	d	kṛṣṇā rajāṃsi taviṣīṃ dadhānaḥ	joined	samudra:01_rigveda.no_tags#35.4	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.04	y
1	35	5	a	vi janāñ chyāvāḥ śitipādo akhyan	joined	samudra:01_rigveda.no_tags#35.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.05	y
1	35	5	b	rathaṃ hiraṇyapraügaṃ vahantaḥ	joined	samudra:01_rigveda.no_tags#35.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.05	y
1	35	5	c	śaśvad viśaḥ (TB. diśaḥ) savitur daivyasya	joined	samudra:01_rigveda.no_tags#35.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.05	y
1	35	5	d	upasthe viśvā bhuvanāni tasthuḥ	joined	samudra:01_rigveda.no_tags#35.5	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.035.html#rv01.035.05	n
