signature	count	share_pct
VERB|Plur p3 Past Ind Pass	24	0.000422
VERB|Abl Sing Masc Pres Pass	24	0.000422
VERB|Acc Sing Neut Fut	24	0.000422
VERB|Ins Sing Masc Fut	24	0.000422
NUM|Abl Sing Fem	23	0.000404
PRON|Voc Sing Masc	23	0.000404
VERB|Dual p3 Past Sub	23	0.000404
VERB|Plur p3 Fut Cond	23	0.000404
NUM|Dat Sing Masc	22	0.000387
VERB|Dual p2 Past Sub	22	0.000387
VERB|Plur p2 Fut Cond	22	0.000387
VERB|Gen Plur Neut Pres Pass	22	0.000387
VERB|Nom Dual Fem Past	22	0.000387
NUM|Abl Plur Fem	21	0.000369
NUM|Dat Dual Fem	21	0.000369
VERB|Abl Sing Neut Past	21	0.000369
VERB|Dat Sing Fem Pres	21	0.000369
ADJ|Ins Plur	20	0.000352
VERB|Sing p3 Fut Pot	20	0.000352
VERB|Acc Dual Masc Pres Pass	20	0.000352
VERB|Acc Plur Masc Fut	20	0.000352
VERB|Gen Dual Neut	20	0.000352
VERB|Nom Dual Neut Past	20	0.000352
PRON|Dat Dual Fem	19	0.000334
VERB|Dual p2 Pres Sub	19	0.000334
VERB|Plur p3 Past Opt	19	0.000334
VERB|Sing p2 Plp Ind	19	0.000334
NUM|Dat Dual Masc	18	0.000316
VERB|Abl Sing Neut Pres Pass	18	0.000316
VERB|Loc Plur Neut Past	18	0.000316
ADP|Cpd	17	0.000299
NUM|Dat Sing Neut	17	0.000299
NUM|Loc Dual Fem	17	0.000299
NUM|Loc Dual Neut	16	0.000281
PRON|Abl Dual Neut	16	0.000281
VERB|Dual p1 Past Ind	16	0.000281
VERB|Dat Plur Fem	16	0.000281
VERB|Ins Sing Fem Past	16	0.000281
VERB|Loc Plur Fem Past	16	0.000281
ADJ|Loc Sing	15	0.000264
NOUN|Voc Plur	15	0.000264
NUM|Ins Plur	15	0.000264
VERB|Abl Sing Fem	15	0.000264
